PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,PIE,NET_RATING,TS_PCT,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,MARKET_VALUE_M,SALARY_M,SURPLUS_VALUE_M
Kel'el Ware,MIA,21.0,64,22.2,9.3,7.4,0.9,0.119,1.9,0.6007751937984497,64.3,5,69.3,35.34,4.23,31.11
Day'Ron Sharpe,BKN,23.0,50,18.1,7.9,6.6,1.8,0.134,2.1,0.567528735632184,65.0,3,68.0,34.68,3.99,30.69
Chet Holmgren,OKC,23.0,32,27.4,15.0,8.0,2.0,0.122,16.1,0.5977048135160982,78.2,3,81.2,41.41,10.88,30.53
Zach Edey,MEM,23.0,66,21.5,9.2,8.3,1.0,0.111,5.3,0.6186121570736955,66.5,3,69.5,35.44,5.76,29.68
Josh Giddey,CHI,22.0,70,30.2,14.6,8.1,7.2,0.13,-1.4,0.5699562773266709,69.3,5,74.3,37.89,8.35,29.54
Scotty Pippen Jr.,MEM,24.0,79,21.3,9.9,3.3,4.4,0.106,1.3,0.5845536136041568,58.4,3,61.4,31.31,2.09,29.22
Cade Cunningham,DET,23.0,70,35.0,26.1,6.1,9.1,0.152,2.8,0.5641535535189348,80.4,3,83.4,42.53,13.94,28.59
Paolo Banchero,ORL,22.0,46,34.4,25.9,7.5,4.8,0.157,-0.6,0.551157643854273,74.8,5,79.8,40.7,12.16,28.54
Moussa Diabaté,CHA,23.0,71,17.5,5.7,6.2,0.8,0.115,-3.4,0.6190269331016508,54.3,3,57.3,29.22,0.96,28.26
Goga Bitadze,ORL,25.0,70,20.4,7.2,6.6,2.0,0.134,2.7,0.63875088715401,72.9,0,72.9,37.18,9.06,28.12
Cam Thomas,BKN,23.0,25,31.2,24.0,3.3,3.8,0.122,-5.7,0.5758157389635317,59.2,3,62.2,31.72,4.04,27.68
Moritz Wagner,ORL,28.0,30,18.8,12.9,4.9,1.4,0.165,-0.9,0.6496776792908944,75.4,0,75.4,38.45,11.0,27.45
Kevin Porter Jr.,MIL,25.0,75,19.8,10.3,3.7,3.4,0.119,1.1,0.5302718286655684,56.6,0,56.6,28.87,2.24,26.63
Nikola Jović,MIA,22.0,46,25.1,10.7,3.9,2.8,0.098,-1.1,0.5920761398849048,51.7,5,56.7,28.92,2.46,26.46
Daniel Gafford,DAL,26.0,57,21.5,12.3,6.8,1.4,0.141,1.5,0.7154490460679386,77.6,0,77.6,39.58,13.39,26.19
Jared McCain,PHI,21.0,23,25.7,15.3,2.4,2.6,0.106,-2.1,0.5904600185242359,54.1,5,59.1,30.14,4.03,26.11
Trayce Jackson-Davis,GSW,25.0,62,15.6,6.6,5.0,1.7,0.12,-3.5,0.588865096359743,54.0,0,54.0,27.54,1.89,25.65
Austin Reaves,LAL,27.0,73,34.9,20.2,4.5,5.8,0.118,3.8,0.6158536585365854,75.4,0,75.4,38.45,12.98,25.47
